Code,Prompt,Image,Type,Price,Cost,Weight,D,R,I
SL18,SL18,graphics/00000001/SL18.jpg,,8.00,0.00,0.00,No,No,No
SL19,SL19,graphics/00000001/SL19.jpg,,8.00,0.00,0.00,No,No,No
cm_2_text_color,Thread Color 02,,select,0.00,0.00,0.00,No,No,No
black,Black,,,0.00,0.00,0.00,No,No,No
brown,Brown,,,0.00,0.00,0.00,No,No,No
dk_green,Dark Green,,,0.00,0.00,0.00,No,No,No
gold,Gold,,,0.00,0.00,0.00,No,No,No
gray,Gray,,,0.00,0.00,0.00,No,No,No
irish_green,Irish Green,,,0.00,0.00,0.00,No,No,No
khaki,Khaki,,,0.00,0.00,0.00,No,No,No
lt_gray,Lite Gray,,,0.00,0.00,0.00,No,No,No
maroon,Maroon,,,0.00,0.00,0.00,No,No,No
navy,Navy,,,0.00,0.00,0.00,No,No,No
red,Red,,,0.00,0.00,0.00,No,No,No
orange,Orange,,,0.00,0.00,0.00,No,No,No
royal_blue,Royal Blue,,,0.00,0.00,0.00,No,No,No
rust,Rust,,,0.00,0.00,0.00,No,No,No
tan,Tan,,,0.00,0.00,0.00,No,No,No
teal,Teal,,,0.00,0.00,0.00,No,No,No
white,White,,,0.00,0.00,0.00,No,No,No
yellow,Yellow,,,0.00,0.00,0.00,No,No,No
cm_2_text_placement,Text Placement 02,,radio,0.00,0.00,0.00,No,No,No
left_chest,Left Chest,,,0.00,0.00,0.00,No,No,No
right_chest,Right Chest,,,0.00,0.00,0.00,No,No,No
cm_2_text_designation,Designation 02,,select,0.00,0.00,0.00,No,No,No
straight_line_above,Straight Line Above,,,0.00,0.00,0.00,No,No,No
straight_line_below,Straight Line Below,,,0.00,0.00,0.00,No,No,No
arched_above,Arched Above,,,0.00,0.00,0.00,No,No,No
cm_rrp,By checking the box to the left I indicate that I am aware that customized items cannot be returned,,checkbox,0.00,0.00,0.00,No,No,No
